,random_rec
0,7451788
1,7083238
2,7068958
3,7145448
4,7085508
5,7535448
6,9200958
7,7151368
8,7271998
9,8263418
10,24099028
11,7247778
12,7773388
13,7069298
14,7319258
15,7227658
16,7218428
17,10457758
18,8403568
19,7047558
20,8629398
21,25731888
22,7227628
23,7109818
24,8054188
25,7530148
26,7231998
27,8714218
28,11411758
29,11285108
30,7077128
31,7129368
32,28701448
33,10844958
34,8001728
35,7108178
36,7564548
37,7068518
38,8617138
39,31084038
40,7566138
41,7874108
42,12351268
43,7433208
44,8119608
45,12775358
46,7068278
47,7641198
48,7562998
49,7878208
50,7110848
51,7106348
52,12553138
53,19011548
54,33069128
55,22090668
56,7363658
57,19440228
58,7184658
59,7182578
60,7609678
61,9267588
62,14869758
63,7357018
64,7303768
65,10055868
66,10478388
67,17432768
68,7757248
69,17214988
70,9779298
71,8123798
72,7088208
73,9480018
74,7146098
75,8193848
76,24001838
77,8028698
78,7190138
79,7450798
80,7393198
81,7132378
82,7132978
83,7205958
84,17777718
85,7469608
86,7090428
87,8107568
88,31483038
89,7597158
90,26662698
91,7284008
92,14409178
93,7460288
94,8122928
95,8396858
96,7232408
97,9552058
98,7555038
99,9203108
